ID,Hair_Type_Code,Hair_Type_Description,Hair_Porosity,Scalp_Type,Common_Issue,Likely_Cause,Symptoms,Recommended_Solution,Suggested_Treatment,Treatment_Frequency,Severity_Level
61,1A,"Straight - Fine, no curl pattern",Medium Porosity,Normal Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Protein treatment + deep conditioning mask,Weekly,Moderate
62,1A,"Straight - Fine, no curl pattern",Medium Porosity,Normal Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull",Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
63,1A,"Straight - Fine, no curl pattern",Medium Porosity,Normal Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Anti-frizz serum/cream,Daily as needed,Mild
64,1A,"Straight - Fine, no curl pattern",Medium Porosity,Normal Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Minoxidil topical + supplements,Daily application,Moderate-Severe
65,1A,"Straight - Fine, no curl pattern",Medium Porosity,Normal Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
66,1A,"Straight - Fine, no curl pattern",Medium Porosity,Normal Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel",Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying/chelating shampoo,Every 1-2 weeks,Mild
67,1A,"Straight - Fine, no curl pattern",Medium Porosity,Combination Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
68,1A,"Straight - Fine, no curl pattern",Medium Porosity,Combination Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
69,1A,"Straight - Fine, no curl pattern",Medium Porosity,Combination Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor",Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying shampoo,Every 2-3 days,Mild-Moderate
70,1A,"Straight - Fine, no curl pattern",Medium Porosity,Combination Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Protein treatment + deep conditioning mask,Weekly,Moderate
71,1A,"Straight - Fine, no curl pattern",Medium Porosity,Combination Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull",Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
72,1A,"Straight - Fine, no curl pattern",Medium Porosity,Combination Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Anti-frizz serum/cream,Daily as needed,Mild
73,1A,"Straight - Fine, no curl pattern",Medium Porosity,Combination Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Minoxidil topical + supplements,Daily application,Moderate-Severe
74,1A,"Straight - Fine, no curl pattern",Medium Porosity,Combination Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
75,1A,"Straight - Fine, no curl pattern",Medium Porosity,Combination Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel",Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying/chelating shampoo,Every 1-2 weeks,Mild
76,1A,"Straight - Fine, no curl pattern",Medium Porosity,Sensitive Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
77,1A,"Straight - Fine, no curl pattern",Medium Porosity,Sensitive Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
78,1A,"Straight - Fine, no curl pattern",Medium Porosity,Sensitive Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor",Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying shampoo,Every 2-3 days,Mild-Moderate
79,1A,"Straight - Fine, no curl pattern",Medium Porosity,Sensitive Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Protein treatment + deep conditioning mask,Weekly,Moderate
80,1A,"Straight - Fine, no curl pattern",Medium Porosity,Sensitive Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull",Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
81,1A,"Straight - Fine, no curl pattern",Medium Porosity,Sensitive Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Anti-frizz serum/cream,Daily as needed,Mild
82,1A,"Straight - Fine, no curl pattern",Medium Porosity,Sensitive Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
83,1A,"Straight - Fine, no curl pattern",Medium Porosity,Sensitive Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel",Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying/chelating shampoo,Every 1-2 weeks,Mild
84,1A,"Straight - Fine, no curl pattern",High Porosity,Oily Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
